AreaCode,Year,LitresPerCapita,RecordStatus
AFG,2000,0.0026,Total
AFG,2000,0.002,Recorded
AFG,2000,0.0006,Unrecorded
AFG,2001,0.0026,Total
AFG,2001,0.002,Recorded
AFG,2001,0.0006,Unrecorded
AFG,2002,0.007,Total
AFG,2002,0.006,Recorded
AFG,2002,0.001,Unrecorded
AFG,2003,0.016,Total
AFG,2003,0.013,Recorded
AFG,2003,0.003,Unrecorded
AFG,2004,0.02,Total
AFG,2004,0.016,Recorded
AFG,2004,0.004,Unrecorded
AFG,2005,0.026000000000000002,Total
AFG,2005,0.021,Recorded
AFG,2005,0.005,Unrecorded
AFG,2006,0.025,Total
AFG,2006,0.02,Recorded
AFG,2006,0.005,Unrecorded
AFG,2007,0.03,Total
AFG,2007,0.024,Recorded
AFG,2007,0.006,Unrecorded
AFG,2008,0.025,Total
AFG,2008,0.02,Recorded
AFG,2008,0.005,Unrecorded
AFG,2009,0.022,Total
AFG,2009,0.018,Recorded
AFG,2009,0.004,Unrecorded
AFG,2010,0.012,Total
AFG,2010,0.01,Recorded
AFG,2010,0.002,Unrecorded
AFG,2011,0.008,Total
AFG,2011,0.006,Recorded
AFG,2011,0.002,Unrecorded
AFG,2012,0.0037,Total
AFG,2012,0.003,Recorded
AFG,2012,0.0007,Unrecorded
AFG,2013,0.0037,Total
AFG,2013,0.003,Recorded
AFG,2013,0.0007,Unrecorded
AFG,2014,0.0037,Total
AFG,2014,0.003,Recorded
AFG,2014,0.0007,Unrecorded
AFG,2015,0.009000000000000001,Total
AFG,2015,0.007,Recorded
AFG,2015,0.002,Unrecorded
AFG,2016,0.013999999999999999,Total
AFG,2016,0.011,Recorded
AFG,2016,0.003,Unrecorded
AFG,2017,0.017,Total
AFG,2017,0.014,Recorded
AFG,2017,0.003,Unrecorded
AFG,2018,0.016,Total
AFG,2018,0.013,Recorded
AFG,2018,0.003,Unrecorded
AFG,2019,0.016,Total
AFG,2019,0.013,Recorded
AFG,2019,0.003,Unrecorded
AFG,2020,0.011,Total
AFG,2020,0.009,Recorded
AFG,2020,0.002,Unrecorded
ALB,2000,4.45,Total
ALB,2000,3.62,Recorded
ALB,2000,0.83,Unrecorded
ALB,2001,4.45,Total
ALB,2001,3.62,Recorded
ALB,2001,0.83,Unrecorded
ALB,2002,4.59,Total
ALB,2002,3.75,Recorded
ALB,2002,0.84,Unrecorded
ALB,2003,4.59,Total
ALB,2003,3.76,Recorded
ALB,2003,0.83,Unrecorded
ALB,2004,5.0,Total
ALB,2004,4.15,Recorded
ALB,2004,0.85,Unrecorded
ALB,2005,5.32,Total
ALB,2005,4.46,Recorded
ALB,2005,0.86,Unrecorded
ALB,2006,5.66,Total
ALB,2006,4.79,Recorded
ALB,2006,0.87,Unrecorded
ALB,2007,5.83,Total
ALB,2007,4.97,Recorded
ALB,2007,0.86,Unrecorded
ALB,2008,6.03,Total
ALB,2008,5.17,Recorded
ALB,2008,0.86,Unrecorded
ALB,2009,5.97,Total
ALB,2009,5.12,Recorded
ALB,2009,0.85,Unrecorded
ALB,2010,5.93,Total
ALB,2010,5.09,Recorded
ALB,2010,0.84,Unrecorded
ALB,2011,5.6000000000000005,Total
ALB,2011,4.78,Recorded
ALB,2011,0.82,Unrecorded
ALB,2012,5.39,Total
ALB,2012,4.59,Recorded
ALB,2012,0.8,Unrecorded
ALB,2013,5.0600000000000005,Total
ALB,2013,4.28,Recorded
ALB,2013,0.78,Unrecorded
ALB,2014,5.02,Total
ALB,2014,4.25,Recorded
ALB,2014,0.77,Unrecorded
ALB,2015,5.05,Total
ALB,2015,4.29,Recorded
ALB,2015,0.76,Unrecorded
ALB,2016,5.14,Total
ALB,2016,4.38,Recorded
ALB,2016,0.76,Unrecorded
ALB,2017,5.15,Total
ALB,2017,4.4,Recorded
ALB,2017,0.75,Unrecorded
ALB,2018,5.13,Total
ALB,2018,4.38,Recorded
ALB,2018,0.75,Unrecorded
ALB,2019,5.13,Total
ALB,2019,4.38,Recorded
ALB,2019,0.75,Unrecorded
ALB,2020,4.4799999999999995,Total
ALB,2020,3.78,Recorded
ALB,2020,0.7,Unrecorded
DZA,2000,0.30600000000000005,Total
DZA,2000,0.28,Recorded
DZA,2000,0.026,Unrecorded
DZA,2001,0.30600000000000005,Total
DZA,2001,0.28,Recorded
DZA,2001,0.026,Unrecorded
DZA,2002,0.338,Total
DZA,2002,0.31,Recorded
DZA,2002,0.028,Unrecorded
DZA,2003,0.41400000000000003,Total
DZA,2003,0.38,Recorded
DZA,2003,0.034,Unrecorded
