AreaCode,Year,Litres
ARG,1961,16.4
ARG,1962,16.7
ARG,1963,17.6
ARG,1964,17.8
ARG,1965,17.8
ARG,1966,16.6
ARG,1967,17.0
ARG,1968,17.7
ARG,1969,17.8
ARG,1970,18.4
ARG,1971,17.0
ARG,1972,16.1
ARG,1973,15.0
ARG,1974,16.1
ARG,1975,17.5
ARG,1976,17.3
ARG,1977,17.1
ARG,1978,15.7
ARG,1979,16.1
ARG,1980,16.6
ARG,1981,15.3
ARG,1982,14.6
ARG,1983,14.5
ARG,1984,13.8
ARG,1985,12.8
ARG,1986,12.9
ARG,1987,12.8
ARG,1988,11.5
ARG,1989,10.8
ARG,1990,11.7
ARG,1991,12.3
ARG,1992,12.1
ARG,1993,11.6
ARG,1994,10.9
ARG,1995,10.1
ARG,1996,9.9
ARG,1997,10.3
ARG,1998,9.2
ARG,1999,9.2
ARG,2000,7.7
ARG,2001,7.8
ARG,2002,7.8
ARG,2003,7.6
ARG,2004,7.6
ARG,2005,7.6
ARG,2006,7.8
ARG,2007,8.2
ARG,2008,8.4
ARG,2009,8.3
ARG,2010,7.3
ARG,2011,7.7
ARG,2012,8.0
ARG,2013,8.1
ARG,2014,8.2
ARG,2015,8.2
ARG,2016,8.2
ARG,2017,7.9
ARG,2018,7.6
ARG,2019,7.6
ARG,2020,7.6
AUS,1960,9.3
AUS,1961,9.4
AUS,1962,9.5
AUS,1963,9.8
AUS,1964,10.1
AUS,1965,10.0
AUS,1966,10.3
AUS,1967,10.8
AUS,1968,11.1
AUS,1969,11.6
AUS,1970,11.6
AUS,1971,11.6
AUS,1972,12.2
AUS,1973,12.9
AUS,1974,13.1
AUS,1975,12.9
AUS,1976,13.1
AUS,1977,13.0
AUS,1978,12.7
AUS,1979,12.7
AUS,1980,12.7
AUS,1981,12.8
AUS,1982,12.4
AUS,1983,12.2
AUS,1984,11.7
AUS,1985,11.8
AUS,1986,11.3
AUS,1987,11.4
AUS,1988,11.3
AUS,1989,11.0
AUS,1990,10.6
AUS,1991,10.1
AUS,1992,9.9
AUS,1993,10.2
AUS,1994,10.0
AUS,1995,9.8
AUS,1996,10.0
AUS,1997,10.2
AUS,1998,10.0
AUS,1999,10.0
AUS,2000,10.2
AUS,2001,10.0
AUS,2002,10.4
AUS,2003,10.3
AUS,2004,10.5
AUS,2005,10.5
AUS,2006,10.8
AUS,2007,10.8
AUS,2008,10.8
AUS,2009,10.7
AUS,2010,10.4
AUS,2011,10.1
AUS,2012,10.0
AUS,2013,9.9
AUS,2014,9.8
AUS,2015,10.1
AUS,2016,10.1
AUS,2017,10.2
AUS,2018,10.3
AUS,2019,10.1
AUT,1960,8.8
AUT,1961,9.4
AUT,1962,9.4
AUT,1963,10.1
AUT,1964,10.7
AUT,1965,11.2
AUT,1966,13.0
AUT,1967,12.7
AUT,1968,13.4
AUT,1969,13.2
AUT,1970,13.3
AUT,1971,13.9
AUT,1972,14.4
AUT,1973,14.6
AUT,1974,14.6
AUT,1975,14.1
AUT,1976,14.2
AUT,1977,14.3
AUT,1978,13.5
AUT,1979,13.6
AUT,1980,13.6
AUT,1981,13.4
AUT,1982,13.5
AUT,1983,14.0
AUT,1984,13.8
AUT,1985,13.3
AUT,1986,13.6
AUT,1987,13.6
AUT,1988,13.7
AUT,1989,13.9
AUT,1990,14.0
AUT,1991,14.0
AUT,1992,13.6
AUT,1993,13.5
AUT,1994,12.5
AUT,1995,13.4
