AreaCode,Year,Sex,LitresPerCapita
AFG,2000,Female,0.06
AFG,2000,Male,0.17
AFG,2000,Total,0.14
AFG,2001,Female,0.06
AFG,2001,Male,0.17
AFG,2001,Total,0.14
AFG,2002,Female,0.15
AFG,2002,Male,0.43
AFG,2002,Total,0.35
AFG,2003,Female,0.35
AFG,2003,Male,0.98
AFG,2003,Total,0.81
AFG,2004,Female,0.44
AFG,2004,Male,1.22
AFG,2004,Total,1.01
AFG,2005,Female,0.58
AFG,2005,Male,1.59
AFG,2005,Total,1.32
AFG,2006,Female,0.53
AFG,2006,Male,1.48
AFG,2006,Total,1.23
AFG,2007,Female,0.63
AFG,2007,Male,1.76
AFG,2007,Total,1.46
AFG,2008,Female,0.53
AFG,2008,Male,1.48
AFG,2008,Total,1.22
AFG,2009,Female,0.49
AFG,2009,Male,1.35
AFG,2009,Total,1.12
AFG,2010,Female,0.27
AFG,2010,Male,0.74
AFG,2010,Total,0.62
AFG,2011,Female,0.16
AFG,2011,Male,0.45
AFG,2011,Total,0.38
AFG,2012,Female,0.079
AFG,2012,Male,0.22
AFG,2012,Total,0.18
AFG,2013,Female,0.078
AFG,2013,Male,0.22
AFG,2013,Total,0.18
AFG,2014,Female,0.08
AFG,2014,Male,0.22
AFG,2014,Total,0.18
AFG,2015,Female,0.19
AFG,2015,Male,0.52
AFG,2015,Total,0.43
AFG,2016,Female,0.28
AFG,2016,Male,0.78
AFG,2016,Total,0.64
AFG,2017,Female,0.36
AFG,2017,Male,1.0
AFG,2017,Total,0.83
AFG,2018,Female,0.34
AFG,2018,Male,0.95
AFG,2018,Total,0.79
AFG,2019,Female,0.34
AFG,2019,Male,0.95
AFG,2019,Total,0.79
AFG,2020,Female,0.24
AFG,2020,Male,0.66
AFG,2020,Total,0.55
ALB,2000,Female,4.57
ALB,2000,Male,11.82
ALB,2000,Total,9.06
ALB,2001,Female,4.57
ALB,2001,Male,11.82
ALB,2001,Total,9.06
ALB,2002,Female,4.7
ALB,2002,Male,12.17
ALB,2002,Total,9.32
ALB,2003,Female,4.72
ALB,2003,Male,12.24
ALB,2003,Total,9.38
ALB,2004,Female,5.05
ALB,2004,Male,13.17
ALB,2004,Total,10.04
ALB,2005,Female,5.31
ALB,2005,Male,13.92
ALB,2005,Total,10.58
