AreaCode,Sex,AgeGroup,Percentage
AUT,Female,30_44,10.38346
AUT,Female,45_59,8.54588
AUT,Female,From60,4.493363472699101
AUT,Female,Under30,28.75092
AUT,Male,30_44,26.53951
AUT,Male,45_59,22.77943
AUT,Male,From60,12.594792627422363
AUT,Male,Under30,49.13871
BEL,Female,30_44,12.42291
BEL,Female,45_59,12.5641
BEL,Female,From60,8.95998444908828
BEL,Female,Under30,17.09402
BEL,Male,30_44,29.63636
BEL,Male,45_59,27.124769999999998
BEL,Male,From60,17.339489610482786
BEL,Male,Under30,25.0
BGR,Female,30_44,11.15942
BGR,Female,45_59,9.511569999999999
BGR,Female,From60,4.477134428320351
BGR,Female,Under30,8.13187
BGR,Male,30_44,26.598840000000003
BGR,Male,45_59,29.16667
BGR,Male,From60,15.090885018392882
BGR,Male,Under30,18.685119999999998
CAN,Female,30_44,18.70762
CAN,Female,45_59,15.87122
CAN,Female,From60,5.642547099916508
CAN,Female,Under30,23.15508
CAN,Male,30_44,32.43162
CAN,Male,45_59,27.710839999999997
CAN,Male,From60,13.865396220877848
CAN,Male,Under30,31.03991
CYP,Female,30_44,1.22511
CYP,Female,45_59,1.04478
CYP,Female,From60,1.5117285682297643
CYP,Female,Under30,2.75229
CYP,Male,30_44,10.57348
CYP,Male,45_59,11.92053
CYP,Male,From60,7.633663698145413
CYP,Male,Under30,5.29197
CZE,Female,30_44,9.13979
CZE,Female,45_59,6.63842
CZE,Female,From60,2.5393828489372354
CZE,Female,Under30,13.81733
CZE,Male,30_44,27.056960000000004
CZE,Male,45_59,21.247889999999998
CZE,Male,From60,12.426768298208671
CZE,Male,Under30,33.01887
DNK,Female,30_44,20.92624
DNK,Female,45_59,25.116280000000003
DNK,Female,From60,18.12281229785809
DNK,Female,Under30,50.0
DNK,Male,30_44,44.14226
DNK,Male,45_59,46.96734
DNK,Male,From60,40.078196571100555
DNK,Male,Under30,55.706520000000005
ESP,Female,30_44,7.85323
ESP,Female,45_59,3.8982500000000004
ESP,Female,From60,1.4381895510755816
ESP,Female,Under30,10.71167
ESP,Male,30_44,16.89807
ESP,Male,45_59,13.84668
ESP,Male,From60,6.516977640905518
ESP,Male,Under30,22.0339
EST,Female,30_44,9.56652
EST,Female,45_59,4.95315
EST,Female,From60,1.820847736624923
EST,Female,Under30,9.75143
EST,Male,30_44,35.221239999999995
EST,Male,45_59,31.95691
EST,Male,From60,14.385555417554324
EST,Male,Under30,30.79922
FIN,Female,30_44,19.02269
FIN,Female,45_59,21.49425
FIN,Female,From60,9.851048913454703
FIN,Female,Under30,34.587810000000005
FIN,Male,30_44,51.843819999999994
FIN,Male,45_59,51.603500000000004
FIN,Male,From60,33.150498756587346
FIN,Male,Under30,49.12281
FRA,Female,30_44,9.2739
FRA,Female,45_59,5.19655
FRA,Female,From60,
FRA,Female,Under30,21.71216
FRA,Male,30_44,30.78372
FRA,Male,45_59,22.91097
FRA,Male,From60,
FRA,Male,Under30,42.73458
GBR,Female,30_44,18.86973
GBR,Female,45_59,15.025910000000001
GBR,Female,From60,4.066893234457344
GBR,Female,Under30,17.22054
GBR,Male,30_44,29.92611
GBR,Male,45_59,30.654130000000002
GBR,Male,From60,16.80130525991439
GBR,Male,Under30,21.23369
GRC,Female,30_44,8.21918
GRC,Female,45_59,4.70685
GRC,Female,From60,2.0328060954450367
GRC,Female,Under30,11.727079999999999
GRC,Male,30_44,16.96891
GRC,Male,45_59,19.28307
GRC,Male,From60,9.863501449464978
GRC,Male,Under30,19.6468
HRV,Female,30_44,3.39286
HRV,Female,45_59,3.92442
HRV,Female,From60,2.4391854334899907
HRV,Female,Under30,7.20339
HRV,Male,30_44,18.55288
HRV,Male,45_59,19.54198
HRV,Male,From60,13.675568041951813
HRV,Male,Under30,18.452379999999998
HUN,Female,30_44,2.70619
HUN,Female,45_59,3.30578
HUN,Female,From60,2.431069459222164
HUN,Female,Under30,5.22766
HUN,Male,30_44,14.46991
HUN,Male,45_59,14.17069
HUN,Male,From60,11.673128453264809
HUN,Male,Under30,17.23122
IRL,Female,30_44,22.750980000000002
IRL,Female,45_59,17.988390000000003
IRL,Female,From60,9.07371768456963
IRL,Female,Under30,33.60882
IRL,Male,30_44,46.01113
IRL,Male,45_59,41.90871
IRL,Male,From60,28.655533604947596
IRL,Male,Under30,49.01961
ISL,Female,30_44,18.23647
ISL,Female,45_59,16.86047
ISL,Female,From60,9.663690143997988
ISL,Female,Under30,29.310350000000003
ISL,Male,30_44,33.55556
ISL,Male,45_59,28.77264
ISL,Male,From60,21.388127318212824
ISL,Male,Under30,38.412020000000005
Korea,Female,30_44,25.550659999999997
Korea,Female,45_59,17.03431
Korea,Female,From60,
Korea,Female,Under30,37.55102
Korea,Male,30_44,62.22962
Korea,Male,45_59,61.45675000000001
Korea,Male,From60,
Korea,Male,Under30,40.57018
LTU,Female,30_44,14.356440000000001
LTU,Female,45_59,10.06865
LTU,Female,From60,2.5323818322826197
LTU,Female,Under30,9.15179
LTU,Male,30_44,45.77114
