AreaCode,Sex,AgeGroup,Percentage
AUT,Female,30_44,20.85308
AUT,Female,45_59,27.691290000000002
AUT,Female,From60,24.951452626683217
AUT,Female,Under30,21.138209999999997
AUT,Male,30_44,47.24796
AUT,Male,45_59,55.71610999999999
AUT,Male,From60,60.03675844688653
AUT,Male,Under30,44.69628
BEL,Female,30_44,24.347830000000002
BEL,Female,45_59,31.4954
BEL,Female,From60,27.055553345561695
BEL,Female,Under30,18.916050000000002
BEL,Male,30_44,41.35135
BEL,Male,45_59,43.26241
BEL,Male,From60,44.84710550855824
BEL,Male,Under30,24.487470000000002
BGR,Female,30_44,15.71429
BGR,Female,45_59,17.579620000000002
BGR,Female,From60,8.55012437717582
BGR,Female,Under30,7.87746
BGR,Male,30_44,36.07955
BGR,Male,45_59,48.54981
BGR,Male,From60,34.438760384330905
BGR,Male,Under30,19.11263
CAN,Female,30_44,36.91554
CAN,Female,45_59,41.218500000000006
CAN,Female,From60,31.828873993506196
CAN,Female,Under30,26.28992
CAN,Male,30_44,54.9724
CAN,Male,45_59,55.83599
CAN,Male,From60,50.87796885661685
CAN,Male,Under30,36.61766
CYP,Female,30_44,7.810110000000001
CYP,Female,45_59,11.194030000000001
CYP,Female,From60,6.487827398219771
CYP,Female,Under30,8.990829999999999
CYP,Male,30_44,33.51254
CYP,Male,45_59,41.88742
CYP,Male,From60,38.304637696230465
CYP,Male,Under30,18.43066
CZE,Female,30_44,30.64516
CZE,Female,45_59,30.932199999999998
CZE,Female,From60,19.3315930199675
CZE,Female,Under30,23.185010000000002
CZE,Male,30_44,58.227850000000004
CZE,Male,45_59,68.63405999999999
CZE,Male,From60,58.166734538877506
CZE,Male,Under30,50.943400000000004
DNK,Female,30_44,30.65068
DNK,Female,45_59,49.07834
DNK,Female,From60,50.82239606413537
DNK,Female,Under30,22.56214
DNK,Male,30_44,51.45833
DNK,Male,45_59,66.61515
DNK,Male,From60,73.14904685717325
DNK,Male,Under30,35.29412
ESP,Female,30_44,25.200640000000003
ESP,Female,45_59,30.51798
ESP,Female,From60,19.004184162158953
ESP,Female,Under30,17.888560000000002
ESP,Male,30_44,47.20812
ESP,Male,45_59,57.418910000000004
ESP,Male,From60,55.32674583995131
ESP,Male,Under30,33.30652
EST,Female,30_44,17.01183
EST,Female,45_59,10.06623
EST,Female,From60,2.2416425968953235
EST,Female,Under30,12.14421
EST,Male,30_44,40.90121
EST,Male,45_59,34.615390000000005
EST,Male,From60,23.39696987430763
EST,Male,Under30,26.92308
FIN,Female,30_44,28.987990000000003
