AreaCode,Year,Sex,Litres
AFG,2000,Both,0.003
AFG,2000,Female,0.0007
AFG,2000,Male,0.005
AFG,2001,Both,0.003
AFG,2001,Female,0.0007
AFG,2001,Male,0.005
AFG,2002,Both,0.007
AFG,2002,Female,0.002
AFG,2002,Male,0.013
AFG,2003,Both,0.016
AFG,2003,Female,0.004
AFG,2003,Male,0.029
AFG,2004,Both,0.021
AFG,2004,Female,0.005
AFG,2004,Male,0.036
AFG,2005,Both,0.027
AFG,2005,Female,0.006
AFG,2005,Male,0.048
AFG,2006,Both,0.025
AFG,2006,Female,0.006
AFG,2006,Male,0.044
AFG,2007,Both,0.03
AFG,2007,Female,0.007
AFG,2007,Male,0.052
AFG,2008,Both,0.025
AFG,2008,Female,0.006
AFG,2008,Male,0.044
AFG,2009,Both,0.023
AFG,2009,Female,0.005
AFG,2009,Male,0.04
AFG,2010,Both,0.012
AFG,2010,Female,0.003
AFG,2010,Male,0.022
AFG,2011,Both,0.008
AFG,2011,Female,0.002
AFG,2011,Male,0.013
AFG,2012,Both,0.004
AFG,2012,Female,0.0009
AFG,2012,Male,0.006
AFG,2013,Both,0.004
AFG,2013,Female,0.0009
AFG,2013,Male,0.006
AFG,2014,Both,0.004
AFG,2014,Female,0.0009
AFG,2014,Male,0.007
AFG,2015,Both,0.009
AFG,2015,Female,0.002
AFG,2015,Male,0.015
AFG,2016,Both,0.013
AFG,2016,Female,0.003
AFG,2016,Male,0.023
AFG,2017,Both,0.017
AFG,2017,Female,0.004
AFG,2017,Male,0.03
AFG,2018,Both,0.016
AFG,2018,Female,0.004
AFG,2018,Male,0.029
AFG,2019,Both,0.016
AFG,2019,Female,0.004
AFG,2019,Male,0.029
AFG,2020,Both,0.011
AFG,2020,Female,0.003
AFG,2020,Male,0.02
ALB,2000,Both,4.43
ALB,2000,Female,1.67
ALB,2000,Male,7.3
ALB,2001,Both,4.43
ALB,2001,Female,1.67
ALB,2001,Male,7.3
ALB,2002,Both,4.57
ALB,2002,Female,1.72
ALB,2002,Male,7.53
ALB,2003,Both,4.58
ALB,2003,Female,1.72
ALB,2003,Male,7.54
ALB,2004,Both,4.98
ALB,2004,Female,1.9
ALB,2004,Male,8.17
ALB,2005,Both,5.3
ALB,2005,Female,2.03
ALB,2005,Male,8.66
ALB,2006,Both,5.64
ALB,2006,Female,2.18
ALB,2006,Male,9.19
ALB,2007,Both,5.81
ALB,2007,Female,2.25
ALB,2007,Male,9.46
ALB,2008,Both,6.0
ALB,2008,Female,2.32
ALB,2008,Male,9.76
ALB,2009,Both,5.94
ALB,2009,Female,2.29
ALB,2009,Male,9.66
ALB,2010,Both,5.9
