Cause,AreaCode,Sex,Deaths,LitresPerCapita,Population
PercentLiverCirrhosis,AFG,Both,4.18,0.016,20981.063000000002
PercentLiverCirrhosis,AFG,Female,3.29,0.004,10501.977
PercentLiverCirrhosis,AFG,Male,4.95,0.029,10479.081
PercentLiverCirrhosis,ALB,Both,48.2,5.11,2373.087
PercentLiverCirrhosis,ALB,Female,34.3,1.88,1211.954
PercentLiverCirrhosis,ALB,Male,57.89,8.36,1161.13
PercentLiverCirrhosis,DZA,Both,13.73,0.61,30029.437
PercentLiverCirrhosis,DZA,Female,10.82,0.14,14684.341999999999
PercentLiverCirrhosis,DZA,Male,15.74,1.07,15345.096
PercentLiverCirrhosis,AGO,Both,52.41,6.17,17770.089
PercentLiverCirrhosis,AGO,Female,42.21,2.71,9097.117
PercentLiverCirrhosis,AGO,Male,56.62,9.82,8672.976
PercentLiverCirrhosis,ATG,Both,67.13,8.51,73.634
PercentLiverCirrhosis,ATG,Female,55.03,3.63,39.201
PercentLiverCirrhosis,ATG,Male,70.56,14.02,34.438
PercentLiverCirrhosis,ARG,Both,59.56,8.04,34136.078
PercentLiverCirrhosis,ARG,Female,49.28,3.71,17395.831000000002
PercentLiverCirrhosis,ARG,Male,62.43,12.56,16740.248
PercentLiverCirrhosis,ARM,Both,53.86,4.98,2314.45
PercentLiverCirrhosis,ARM,Female,39.68,2.15,1282.318
PercentLiverCirrhosis,ARM,Male,63.83,8.67,1032.127
PercentLiverCirrhosis,AUS,Both,68.25,10.09,20727.342
PercentLiverCirrhosis,AUS,Female,60.85,4.74,10526.72
PercentLiverCirrhosis,AUS,Male,71.44,15.62,10200.626
PercentLiverCirrhosis,AUT,Both,71.73,11.97,7599.999
PercentLiverCirrhosis,AUT,Female,62.5,5.46,3890.1440000000002
PercentLiverCirrhosis,AUT,Male,75.71,18.81,3709.86
PercentLiverCirrhosis,AZE,Both,40.61,1.97,7729.785
PercentLiverCirrhosis,AZE,Female,25.93,0.54,4039.747
PercentLiverCirrhosis,AZE,Male,51.76,3.51,3690.037
PercentLiverCirrhosis,BHS,Both,45.72,4.39,316.336
PercentLiverCirrhosis,BHS,Female,37.61,1.87,166.428
PercentLiverCirrhosis,BHS,Male,49.53,7.2,149.907
PercentLiverCirrhosis,BHR,Both,20.88,1.58,1187.041
PercentLiverCirrhosis,BHR,Female,15.2,0.34,410.979
PercentLiverCirrhosis,BHR,Male,22.71,2.23,776.064
PercentLiverCirrhosis,BGD,Both,8.14,0.005,116303.01400000001
PercentLiverCirrhosis,BGD,Female,5.38,0.001,60024.854
PercentLiverCirrhosis,BGD,Male,9.47,0.009,56278.163
