AreaCode,DriverType,Limit,Comments,Inclusive
AGO,General,0.06,,True
AGO,Young/Novice,0.06,,True
ALB,General,0.05,,True
ALB,Young/Novice,0.05,,True
ARE,General,0.01,,True
ARE,Young/Novice,0.01,,True
ARG,General,0.05,<=0.2 g/l for motorcycles drivers,True
ARG,Young/Novice,0.05,<=0.2 g/l for motorcycles drivers,True
ARM,General,0.04,,True
ARM,Young/Novice,0.04,,True
AUS,General,0.05,,False
AUS,Young/Novice,0.0,,False
AUT,General,0.05,,False
AUT,Young/Novice,0.01,,False
BDI,General,0.08,,True
BDI,Young/Novice,0.08,,True
BEL,General,0.05,,False
BEL,Young/Novice,0.05,,False
BFA,General,0.05,,True
BFA,Young/Novice,0.02,,True
BGR,General,0.05,,True
BGR,Young/Novice,0.05,,True
BIH,General,0.03,,True
BIH,Young/Novice,0.0,,False
BLR,General,0.03,,False
BLR,Young/Novice,0.03,,False
BLZ,General,0.08,,True
BLZ,Young/Novice,0.08,,True
BOL,General,0.05,,True
BOL,Young/Novice,0.05,,True
BRA,General,0.0,,False
BRA,Young/Novice,0.0,,False
BRB,General,0.08,,True
BRB,Young/Novice,0.08,,True
BTN,General,0.08,,True
BTN,Young/Novice,0.0,,False
BWA,General,0.05,,True
BWA,Young/Novice,0.05,,True
CAF,General,0.08,,True
CAF,Young/Novice,0.08,,True
CAN,General,0.04,"National BAC limit is set at 0.08 g/dl. However, in practice all subnational entities have provided their own BAC limits that are reflected in the range above",False
CAN,Young/Novice,0.0,,False
CHE,General,0.05,,False
CHE,Young/Novice,0.01,,False
CHL,General,0.03,,True
CHL,Young/Novice,0.03,,True
CHN,General,0.02,,False
CHN,Young/Novice,0.02,,False
CIV,General,0.08,,False
CIV,Young/Novice,0.08,,False
CMR,General,0.08,,True
CMR,Young/Novice,0.08,,True
COD,General,0.1,,False
COD,Young/Novice,0.1,,False
COG,General,0.08,,True
COG,Young/Novice,0.08,,True
COK,General,0.08,,True
COK,Young/Novice,0.08,,True
COL,General,0.02,,False
COL,Young/Novice,0.02,,False
CPV,General,0.08,,False
CPV,Young/Novice,0.08,,False
CRI,General,0.05,,True
CRI,Young/Novice,0.02,,True
CUB,General,0.01,,True
