AreaCode,Status,Comments
AFG,Sale of Product Banned,
ALB,Yes,
AND,Yes,
ARG,Yes,
ARM,Yes,"The excise tax on spirits applies as a volumetric (unitary) specific tax on some spirits types (e.g., vodka, rum) and as an alcohol-content-based specific tax on others (e.g., cognac, brandy). It was categorized as 'Other' in this analysis."
ATG,No,
AUS,Yes,"The country applies a Wine Equalization Tax (WET) specifically on wine as an ad valorem tax. While the tax is not defined as an excise in the country's legislation, it is considered as such in this analysis as it applies specifically to wine."
AUT,Yes,
AZE,Yes,
BDI,Yes,
BEL,Yes,
BEN,Yes,
BFA,Yes,
BGD,Yes,
BGR,Yes,
BHS,Yes,
BLR,Yes,
BLZ,Yes,
BOL,Yes,
BRA,Yes,
BRN,Sale of Product Banned,
CAF,Yes,
CAN,Yes,
CHE,Yes,
CHL,Yes,
CHN,Yes,
CIV,Yes,
CMR,Yes,
COD,Yes,
COG,Yes,
COK,Yes,
COL,Yes,"1. The excise tax on wines and spirits is structured as a mixed ad valorem and alcohol-content-based specific tax. The ad valorem component is applied on fixed tax base amounts per volume, effectively operating as a volume-based specific tax and classified as such in this analysis. Therefore, the excise tax is classified as specific-mixed, i.e., a mix of volume-based specific and alcohol-content-based specific. 2. Base for ad valorem excise tax is the national average price set by the government. Categorized as 'Other' in this analysis."
CPV,Yes,
CRI,Yes,
CUB,No,
CYP,Yes,The excise tax on wine only applies to sparkling wine and not to still wine.
CZE,Yes,
DEU,Yes,The excise tax on wine only applies to sparkling wine and not to still wine.
DMA,Yes,
DNK,Yes,
DOM,Yes,
ECU,Yes,1. The ad valorem excise tax component does not apply if estimated producer price is lower than a set threshold. 2. Base for ad valorem excise tax component is the result of the difference between the producer price and a set threshold. The ad valorem excise tax component does not apply if estimated producer price is lower than this set threshold. Categorized as 'Other' in this analysis.
EGY,Yes,
ERI,Yes,"Either volume specific or ad valorem excise applies depending on which is higher, categorized as 'Other'"
ESP,Yes,
EST,Yes,
ETH,Yes,"For beer, either volume specific or ad valorem excise applies depending on which is higher, categorized as 'Other'"
FIN,Yes,
FJI,Yes,"For spirits, the excise tax applies either as an alcohol-content-based specific tax or as a volume-based specific tax, whichever is higher, categorized as 'Other'"
FRA,Yes,
GAB,Yes,
GBR,Yes,
GEO,Yes,
GHA,Yes,
GIN,Yes,
GMB,Yes,
GNB,Yes,
GNQ,Yes,
GRC,Yes,
GRD,Yes,
GTM,Yes,
GUY,Yes,
HND,Yes,
HRV,Yes,
HTI,Yes,
HUN,Yes,
IDN,Yes,
IRL,Yes,
IRN,Sale of Product Banned,
IRQ,No,
ISL,Yes,
ISR,Yes,
ITA,Yes,
JAM,Yes,
JPN,Yes,
KAZ,Yes,
KEN,Yes,
KGZ,Yes,
KHM,Yes,
KIR,Yes,
KNA,Yes,
KOR,Yes,
KWT,Sale of Product Banned,
LBN,Yes,
LBR,Yes,
LBY,Sale of Product Banned,
LCA,Yes,
LKA,Yes,
LTU,Yes,
LUX,Yes,
LVA,Yes,
MAR,Yes,
MCO,Yes,
MDA,Yes,
