AreaCode,BeverageType,Comments,Currency,InCurrency,InPPP,InUSD
ALB,Beer,,Lek,95.00,2.36,0.83
ALB,Spirits,,Lek,664.29,16.51,5.80
ARG,Beer,,Argentine Peso,50.81,0.75,0.39
ARG,Spirits,,Argentine Peso,1495.00,22.08,11.40
ATG,Beer,,East Caribbean Dollar,7.44,3.62,2.75
ATG,Spirits,,East Caribbean Dollar,41.00,19.96,15.19
AUS,Beer,,Australian Dollar,4.19,2.78,2.94
AUS,Spirits,,Australian Dollar,48.20,31.99,33.78
AUT,Beer,,Euro,1.11,1.50,1.13
AUT,Spirits,,Euro,17.67,23.91,18.02
AZE,Beer,,Azerbaijan Manat,1.32,1.98,0.78
AZE,Spirits,,Azerbaijan Manat,13.29,19.92,7.82
BDI,Beer,,Burundi Franc,4000.00,5.81,1.97
BDI,Spirits,,Burundi Franc,75 000.00,108.95,36.88
BEL,Beer,,Euro,0.82,1.06,0.83
BEL,Spirits,,Euro,21.16,27.45,21.58
BEN,Beer,,CFA Franc BCEAO,400.00,1.98,0.62
BEN,Spirits,,CFA Franc BCEAO,6000.00,29.63,9.33
BFA,Beer,,CFA Franc BCEAO,500.00,2.59,0.78
BFA,Spirits,,CFA Franc BCEAO,7425.00,38.52,11.54
BGD,Beer,,Taka,300.00,9.34,3.17
BGD,Spirits,,Taka,2300.00,71.63,24.29
BGR,Beer,,Bulgarian Lev,1.02,1.29,0.53
BGR,Spirits,,Bulgarian Lev,13.49,17.01,7.03
BLR,Beer,,Belarusian Ruble,1.58,1.64,0.61
BLR,Spirits,,Belarusian Ruble,12.78,13.26,4.88
BLZ,Beer,,Belize Dollar,3.49,2.75,1.74
BLZ,Spirits,,Belize Dollar,22.50,17.76,11.25
BOL,Beer,Retail price and tax data collected as of 31 March 2023.,Boliviano,7.46,2.97,1.08
BOL,Spirits,Retail price and tax data collected as of 31 March 2023.,Boliviano,50.00,19.94,7.24
BRA,Beer,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.,Brazilian Real,3.29,1.29,0.63
BRA,Spirits,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.,Brazilian Real,18.96,7.42,3.65
CAF,Beer,,CFA Franc BEAC,495.00,1.75,0.77
CAF,Spirits,,CFA Franc BEAC,13 392.86,47.36,20.82
CAN,Beer,Retail price and tax data representing only the Province of Ontario.,Canadian Dollar,2.30,1.83,1.79
CAN,Spirits,Retail price and tax data representing only the Province of Ontario.,Canadian Dollar,32.95,26.25,25.69
CHE,Beer,,Swiss Franc,1.20,1.15,1.26
CHE,Spirits,,Swiss Franc,21.38,20.57,22.44
CHL,Spirits,,Chilean Peso,6390.00,13.87,7.01
CHN,Beer,,Yuan Renminbi,3.89,0.95,0.58
CHN,Spirits,,Yuan Renminbi,25.35,6.19,3.77
CIV,Beer,,CFA Franc BCEAO,660.00,2.81,1.03
CIV,Spirits,,CFA Franc BCEAO,1650.00,7.03,2.57
CMR,Beer,,CFA Franc BEAC,650.00,2.93,1.01
CMR,Spirits,,CFA Franc BEAC,4500.00,20.26,7.00
COD,Beer,,Congolese Franc,1800.00,1.79,0.90
COD,Spirits,,Congolese Franc,24 500.00,24.33,12.22
COG,Beer,,CFA Franc BEAC,253.85,0.65,0.39
COG,Spirits,,CFA Franc BEAC,7000.00,17.96,10.88
COK,Beer,,New Zealand Dollar,3.00,,
COK,Spirits,,New Zealand Dollar,40.50,,
COL,Beer,,Colombian Peso,2250.00,1.58,0.51
COL,Spirits,,Colombian Peso,40 000.00,28.09,9.13
CPV,Beer,,Cabo Verde Escudo,198.00,4.47,1.82
CPV,Spirits,,Cabo Verde Escudo,2200.00,49.63,20.20
CRI,Beer,,Costa Rican Colon,1200.00,3.56,1.79
CRI,Spirits,,Costa Rican Colon,9 214.29,27.36,13.73
CUB,Beer,,Cuban Peso,27.89,,
CUB,Spirits,,Cuban Peso,342.75,,
CYP,Beer,,Euro,0.75,1.33,0.77
CYP,Spirits,,Euro,13.56,24.05,13.83
CZE,Beer,,Czech Koruna,9.83,0.73,0.41
CZE,Spirits,,Czech Koruna,239.85,17.92,9.94
DEU,Beer,,Euro,0.56,0.78,0.57
DEU,Spirits,,Euro,9.10,12.69,9.28
DMA,Beer,,East Caribbean Dollar,6.00,3.58,2.22
DMA,Spirits,,East Caribbean Dollar,21.00,12.53,7.78
DNK,Beer,,Danish Krone,6.46,0.97,0.88
DNK,Spirits,,Danish Krone,144.59,21.81,19.81
DOM,Beer,,Dominican Peso,76.15,3.16,1.39
DOM,Spirits,,Dominican Peso,622.50,25.85,11.39
ECU,Beer,,US Dollar,1.50,2.99,1.50
ECU,Spirits,,US Dollar,11.58,23.06,11.58
EGY,Beer,,Egyptian Pound,22.00,4.72,1.16
EGY,Spirits,,Egyptian Pound,225.00,48.30,11.90
ERI,Beer,,Nakfa,16.50,3.52,1.09
ERI,Spirits,,Nakfa,187.50,39.96,12.44
ESP,Beer,,Euro,0.51,0.86,0.52
ESP,Spirits,,Euro,7.50,12.65,7.65
EST,Beer,,Euro,1.05,1.74,1.07
