AreaCode,PublicPlace,Restriction
AFG,Educational buildings,Ban
AFG,Sporting events,Ban
AFG,Places of worship,Ban
AFG,Public transport,Ban
AFG,Workplaces,Ban
AFG,Leisure events,Ban
AFG,Healthcare establishments,Ban
AFG,Government offices,Ban
AFG,Parks and streets,Ban
AGO,Public transport,No restrictions
AGO,Workplaces,Partial restriction
AGO,Places of worship,Partial restriction
AGO,Healthcare establishments,Partial restriction
AGO,Government offices,Partial restriction
AGO,Educational buildings,Partial restriction
AGO,Parks and streets,No restrictions
AGO,Sporting events,No restrictions
AGO,Leisure events,No restrictions
ALB,Workplaces,Ban
ALB,Public transport,Voluntary/self-restricted
ALB,Leisure events,Voluntary/self-restricted
ALB,Educational buildings,Ban
ALB,Healthcare establishments,Ban
ALB,Places of worship,Ban
ALB,Sporting events,Ban
ALB,Government offices,Partial restriction
ALB,Parks and streets,No restrictions
AND,Sporting events,No restrictions
AND,Places of worship,No restrictions
AND,Public transport,No restrictions
AND,Healthcare establishments,No restrictions
AND,Educational buildings,Partial restriction
AND,Leisure events,Partial restriction
AND,Parks and streets,Partial restriction
AND,Workplaces,Partial restriction
AND,Government offices,No restrictions
ARE,Leisure events,Ban
ARE,Healthcare establishments,Ban
ARE,Government offices,Ban
ARE,Places of worship,Ban
ARE,Sporting events,Ban
ARE,Public transport,Ban
ARE,Workplaces,Ban
ARE,Educational buildings,Ban
ARE,Parks and streets,Ban
ARG,Educational buildings,Voluntary/self-restricted
ARG,Government offices,Voluntary/self-restricted
ARG,Leisure events,Voluntary/self-restricted
ARG,Parks and streets,Voluntary/self-restricted
ARG,Public transport,Voluntary/self-restricted
ARG,Places of worship,Voluntary/self-restricted
ARG,Sporting events,Voluntary/self-restricted
ARG,Workplaces,Voluntary/self-restricted
ARG,Healthcare establishments,Voluntary/self-restricted
ARM,Sporting events,No restrictions
ARM,Educational buildings,Ban
ARM,Healthcare establishments,Ban
ARM,Public transport,Ban
ARM,Places of worship,No restrictions
ARM,Parks and streets,No restrictions
ARM,Leisure events,No restrictions
ARM,Workplaces,Ban
ARM,Government offices,Partial restriction
ATG,Sporting events,No restrictions
ATG,Public transport,No restrictions
ATG,Leisure events,No restrictions
ATG,Parks and streets,No restrictions
ATG,Places of worship,Voluntary/self-restricted
ATG,Educational buildings,Voluntary/self-restricted
ATG,Government offices,Voluntary/self-restricted
ATG,Healthcare establishments,Voluntary/self-restricted
ATG,Workplaces,Voluntary/self-restricted
AUS,Healthcare establishments,Voluntary/self-restricted
AUS,Government offices,Voluntary/self-restricted
AUS,Educational buildings,Voluntary/self-restricted
