Category,AreaCode,BeverageType,Tax,Comments
Excise,ALB,Beer,11.59,
Excise,ALB,Spirits,38.16,
Excise,ARG,Beer,11.86,
Excise,ARG,Spirits,22.5,
Excise,ATG,Beer,0,
Excise,ATG,Spirits,0,
Excise,AUS,Beer,17.73,
Excise,AUS,Spirits,56.5,
Excise,AUT,Beer,7.73,
Excise,AUT,Spirits,19.1,
Excise,AZE,Beer,10,
Excise,AZE,Spirits,22.58,
Excise,BDI,Beer,11.87,
Excise,BDI,Spirits,4.56,
Excise,BEL,Beer,10.53,
Excise,BEL,Spirits,39.78,
Excise,BEN,Beer,12.11,
Excise,BEN,Spirits,2.21,
Excise,BFA,Beer,16.95,
Excise,BFA,Spirits,4.48,
Excise,BGD,Beer,1.1,
Excise,BGD,Spirits,2.79,
Excise,BGR,Beer,5.32,
Excise,BGR,Spirits,24.46,
Excise,BLR,Beer,9.38,
Excise,BLR,Spirits,51.78,
Excise,BLZ,Beer,15.87,
Excise,BLZ,Spirits,65.99,
Excise,BOL,Beer,18.47,Retail price and tax data collected as of 31 March 2023.
Excise,BOL,Spirits,9.36,Retail price and tax data collected as of 31 March 2023.
Excise,BRA,Beer,2.28,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.
Excise,BRA,Spirits,9.16,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.
Excise,CAF,Beer,10.18,
Excise,CAF,Spirits,23.93,
Excise,CAN,Beer,5,Retail price and tax data representing only the Province of Ontario.
Excise,CAN,Spirits,11.87,Retail price and tax data representing only the Province of Ontario.
Excise,CHE,Beer,6.96,
Excise,CHE,Spirits,17.3,
Excise,CHL,Spirits,19.63,
Excise,CHN,Beer,2.12,
Excise,CHN,Spirits,16.3,
Excise,CIV,Beer,10.52,
Excise,CIV,Spirits,22.49,
Excise,CMR,Beer,21.39,
Excise,CMR,Spirits,27.44,
Excise,COD,Beer,16.69,
Excise,COD,Spirits,3.38,
Excise,COG,Beer,11.93,
Excise,COG,Spirits,8.29,
Excise,COK,Beer,15.95,
Excise,COK,Spirits,31.59,
Excise,COL,Beer,15.34,
Excise,COL,Spirits,32.02,
Excise,CPV,Beer,14.11,
Excise,CPV,Spirits,15.74,
Excise,CRI,Beer,10.7,
Excise,CRI,Spirits,21.9,
Excise,CUB,Beer,0,
Excise,CUB,Spirits,0,
Excise,CYP,Beer,11.84,
Excise,CYP,Spirits,21.16,
Excise,CZE,Beer,11.28,
Excise,CZE,Spirits,37.82,
Excise,DEU,Beer,5.56,
Excise,DEU,Spirits,40.29,
Excise,DMA,Beer,7.59,
Excise,DMA,Spirits,10.21,
Excise,DNK,Beer,11.46,
Excise,DNK,Spirits,13.23,
Excise,DOM,Beer,21.4,
Excise,DOM,Spirits,36.27,
Excise,ECU,Beer,12.09,
Excise,ECU,Spirits,29.16,
Excise,EGY,Beer,59.27,
Excise,EGY,Spirits,39.06,
Excise,ERI,Beer,40.58,
Excise,ERI,Spirits,25.25,
